sf:,35258,53,372,2023,False,True,False,2022-08-25 08:46:45.940 -04:00,,1,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,53,Home Language Questionnaire,49
sf:,35259,60,372,2023,False,True,True,2022-08-25 08:46:45.940 -04:00,,1,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,60,Official Release of Records,10
sf:,35260,63,372,2023,False,False,False,2022-08-25 08:46:45.940 -04:00,,2,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,63,Previous School's Test Scores,168
sf:,35267,85,372,2023,False,True,True,2022-08-25 08:46:45.940 -04:00,,1,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,85,Admissions Form,39
sf:,35794,95,372,2023,False,True,False,2023-03-30 21:16:43.480 -04:00,,1,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,95,Student Residency Questionnaire,46
sf:,35261,68,372,2023,False,False,False,2022-08-25 08:46:45.940 -04:00,,8,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,68,Attendance Expectations,63
sf:,35245,1,372,2023,False,True,False,2022-08-25 08:46:45.940 -04:00,,4,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,1,Birth Certificate,7
sf:,35246,2,372,2023,False,False,False,2022-08-25 08:46:45.940 -04:00,,2,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,2,Commitment to Excellence,12
sf:,35856,3,372,2023,False,True,False,2023-06-29 21:13:02.000 -04:00,,2,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,3,Household Information Survey / Education Benefits,163
sf:,35269,89,372,2023,False,True,False,2022-08-25 08:46:45.940 -04:00,,1,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,89,Directory and Media Opt-Out Form,36
sf:,35247,4,372,2023,False,True,False,2022-08-25 08:46:45.940 -04:00,,5,School/Grade/AY/FD:,372,Achieve Charter Academy,2023,2023-2024,4,Emergency Contact,11
